,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
55,Farmers' Protest: One side of Ghazipur border opens for traffic,Union minister Shripad Naik undergoes surgeries after accident,Vladimir Putin: United States aircraft involved in Black Sea UK incident,Arnab Goswami seeks stay to filing of chargesheet in suicide case,"Delhi riots: HC grants bail to two men in murder, conspiracy case",Somnath Bharti faces arrest after Delhi HC rejects his bail plea in domestic abuse case,CBI forms additional team to probe Unnao rape survivor's car accident,US official: IS group believed to be behind Kabul attack
56,Gurugram: Tech the speedbreaker as FASTags slow traffic down,"Union minister Shripad Naik hurt in accident; wife, aide dead","Terrorists kill SPO, his family in Kashmir; incident condemned by political parties","Farmers who commit suicide are cowards, says Karnataka agriculture minister",Bomb scare-murder cases: Court sends Waze to judicial custody,"UP: Congress MLC booked on attempt to murder, dacoity charges",Opposition walks out of Lok Sabha over Unnao accident,UK warns of 'imminent' terrorist attack at Kabul airport
57,Heavy traffic snarls in Delhi,PM Modi expresses grief over road accident in Gujarat's Vadodara,Russia accuses Britain of barefaced lies over Black Sea warship incident,Karnataka Congress seeks probe into suicide attempt by CM's political secretary,Democracy murdered in Bihar: Congress,2 Pakistani-Americans charged with attempt to murder US Marshals,Unnao Road accident: Rape accused BJP MLA named in FIR,CRPF vehicle attacked in Meghalaya capital amid curfew
58,"Lakhimpur incident: Samyukt Kisan Morcha to hold 'Rail Roko' on Oct 18 to demand dismissal, arrest of minister Ajay Mishra","'Health guarantee', free treatment, meds at govt hospitals if AAP voted to power in Punjab: Kejriwal","Cyber, space threats require upgraded technological responses, says President Kovind",Narendra Giri's death: Uttar Pradesh CM Yogi Adityanath promises probe from all angles,"Delhi court denies special food, supplements to Olympic wrestler Sushil Kumar in prison","Tandoor murder case: Sushil Sharma serving life term to be released, says HC","Used cars keep Africans moving, but dumping concerns remain",Here's how you may lower the chance of deadly brain stroke
59,"Maharashtra bandh: Bus services affected, shops closed in Mumbai and neighbouring areas",Courts empowered to award more compensation than claimed: Madras High Court,A way to foil cybercrime? Call it in and you could get the money back,Minorities '100% secure' under Modi govt; narrative of hate incidents going up 'wrong': Minority Commission chief,Chhatrasal Stadium murder: Wrestler Sushil Kumar's mother moves petition in Delhi HC to restrain media,Burari deaths: Police to conduct psychological autopsy,Welcome to the future: JLR unveils new driverless concept car - Project Vector,Ten small changes you can make today to prevent weight gain
60,Russia disconnected from global internet in tests: RBC daily,"Cyclone Tauktae: Railways puts its emergency response teams, vehicles on high alert",Over 6.07 lakh cyber security incidents reported in India during first half of 2021: Govt,Idris Elba-starrer 'Beast' will hit the US screens in August 2022,Railway orders suspension of wrestler Sushil Kumar after his arrest in murder case,"Kathua case: Supreme Court asks J-K govt to protect victim's kin, lawyer","No Canada, Australian visas if you flout traffic rules in Ludhiana","View: If India has to take on China, it must understand China and its future intentions"
61,Ever Given container ship leaves Egyptian waters,Mexico City metro overpass collapses onto road; 23 dead,Such unremitting incidents under BJP's watch invited death of democracy: TMC on Assam-Mizoram border clash,"Police file abetment of suicide case against actor Sandeep Nahar's wife, mother-in-law",Wrestler murder case: Police seek 12 days custody of Olympic medallist Sushil Kumar,Unnao victim’s father won't have died if complaint to CM was acted upon: Allahabad HC,"Shabana Azmi 'stable and recovering' after accident, confirm sources",How to keep heart healthy? Follow these tips
62,Tesla says autopilot makes its cars safer. Crash victims say it kills.,Tech firm Netradyne ties up with Drive Smart Drive Safe to analyse road accidents,Taliye village not a landslide-prone spot but heavy rains caused the incident: Maharashtra deputy CM,"'Kesari' actor Sandeep Nahar hanged himself in his bedroom, confirms police",Don't know what to say: Mixed emotions in Indian sports after Sushil's arrest in murder case,"Pakistani woman admits meeting Mohammad Shami in Dubai, refutes monetary dealing claims","No deaths due to rail accidents in 2019, safest year for train passengers",Taliban ask airlines to resume international flights to Afghanistan
63,"Second wave of COVID-19 may delay recovery in air passenger traffic, says report",US Defence Secretary Lloyd Austin condoles death of IAF pilot in Mig-21 Bison accident,Hospitals have become like huge real estate industries instead of serving humanity: SC,"Twin suicide bombings rock central Baghdad, at least 28 dead",Wrestler murder case: Court denies anticipatory bail to Olympic medalist Sushil Kumar,US Navy veteran pleads guilty to Indian techie Srinivas Kuchibhotla's murder,Marathi singer Geeta Mali passes away in a road accident,"A message for Pakistan as Biden, Modi denounce use of terrorist proxies"
64,Dubai airport passenger traffic down 67.8% in Q1,Accidents are complex phenomena: OFB on two recent mishaps involving its 105mm field guns,Bangladesh factory inferno kills 52,Farmer dies after consuming poisonous substance at Tikri border,"Wrestler murder case: No relief to Olympic medalist Sushil Kumar, court denies anticipatory bail","Angered by son's cell phone addiction, man 'cuts off' teenager's hand",Unnao rape victim accident: No murder charge against Sengar in CBI charge sheet,UNGA address: Modi launches scathing attack on Pakistan’s use of terror as political tool
65,,"Irdai asks health, general insurers to provide standard personal accident cover from April","Two Windies women cricketers collapse on field, ""conscious and stable"" at hospital","Arnab Goswami, two others do not appear before Raigad court",Lady Gaga bulldog heist case: Three men charged with attempted murder and robbery,Shopian incident: BJP MLA protests FIR against Army men in J&K Assembly,"Road accidents claim over 150 lives on Yamuna Expressway in 2019, highest ever: Data","India, US call on Taliban to adhere to commitments, say Afghan soil mustn't be used to attack any country"
66,"International passenger traffic down 89% in February, no sign of recovery: IATA","Tiger Woods car crash: LA sheriff calls it 'purely an accident', rules out any potential criminal charges",SC stays NGT order forming committee on fire incident in Assam's Baghjan oil well,"Karnataka Legislative Council deputy chairman found dead on rail track, suicide suspected","Madras High Court blames EC for Covid spread, says officials ought to be booked for murder",Supreme Court terms as 'horrendous' the video of murder of Muslim man,"View: Heavy fines a way, but crush apathy for road safety","Islamist outfit PFI could be behind attack on Assam Police during eviction drive, says BJP"
67,"Boris Johnson expected to unveil COVID passports, travel traffic lights for UK",Tiger Woods seriously injured in California car crash,Cattle smuggling to Bangladesh completely halted from south Bengal front: BSF report,Lawyer from Punjab commits suicide near farmers' protest site at the Tikri border,Mansukh Hiran murder case: NIA takes Sachin Waze to Chhatrapati Shivaji Maharaj Terminus to recreate scene,‘Case against arm unlikely to affect IRB operations’,SC grants CBI 2 more weeks to complete probe in accident case involving Unnao rape survivor,"BJP leader, who was attacked on counting day during Bengal polls, succumbs to injuries"
68,Traffic jam eases further in Suez Canal after ship unblocked,Workers missing after ArcelorMittal South Africa site accident,"Higher incidence of job losses among youngest, oldest employees in second wave: Survey",CBI should tell if Sushant's death was murder or suicide: Maharashtra HM Anil Deshmukh,Sachin Waze present at meeting where Hiran's murder was planned: NIA,"Indrani using media, misleading court: Peter Mukherjea",IAS officer's car kills journalist in Kerala,Pull up your socks to protect lives of COVID warriors from attacks: Kerala HC to police
69,"Bharat Bandh: Demonstrations held in Bundelkhand, no impact on traffic and markets",45 killed as bus plunges into canal in Madhya Pradesh’s Sidhi district,Govt should take nation into confidence over Galwan incident: Sonia Gandhi,"Loan apps pushing people into debt traps, suicides",NIA arrests TMC leader Chhatradhar Mahato in 2009 murder case,So who murdered Aarushi Talwar? Just turn to page 227,Centre handed over to CBI probe into road accident involving Unnao rape survivor,Bear attack on 135 stocks on BSE500 opens a buy window
70,Bharat Bandh: Traffic movement suspended on Ghazipur border,Rapper Nicki Minaj's father killed in hit-and-run accident near New York City,Maharashtra: Death toll in slabs collapse incident rises to seven,Sikh preacher who died by suicide near Singhu border cremated; politicians pay last respects,"Myanmar mourns bloodiest day since coup, UN investigator condemns ""mass murder""",Aarushi murder case: HC chastises trial court judge,Unnao victim had written letter to CJI Ranjan Gogoi before accident about threat perception,'Balika Vadhu' actor Sidharth Shukla passes away at 40; family says wasn't under any mental pressure
71,"SMS scrubber erases OTPs, nearly 40 per cent traffic disrupted","14 AP pilgrims on way to Ajmer Dargah killed, 4 injured in mini-bus, lorry collision","Major fire at Hindustan Petroleum Corporation Ltd plant in Andhra Pradesh, none hurt",Farmer unions sense ‘moral victory’ in SC’s observation,"Gehlot calls GNCTD Bill ‘murder of democracy', move to target AAP govt",Supreme Court clears hurdle coming in way of accused in Ryan murder case,CBI to probe Unnao Rape survivor’s accident; BJP MLA Sengar booked,"Under attack, Harish Rawat apologises for his 'Panj Pyare' remark"
72,"Global cargo traffic jam could last into 2022, freight CEO warns",Former West Indies pacer Moseley dead in tragic road accident,Cyclone Tauktae: Death toll in Gujarat goes up to 53,Accused including Arnab Goswami ignored Anvay Naik's suicide threat: Charge sheet,Mansukh Hiran murder case: ATS seizes high-end car from Daman,Anti-Hindu elements trying to divert Lankesh murder probe: Sanatan Sanstha,UP government ready for CBI probe into accident involving Unnao rape victim: DIG; opposition demand inquiry,"Saudi TV: Drone attack on airport wounds 8, damages plane"
